OBJECTID,State,Facility_ID,Tank_ID,Tank_Status,Installation_Date,Removal_Date,Capacity,Substances,Tank_Wall_Type,QA
46105,Alaska,AK585,AK585_14,Open,10/2/2013 4:00:00 AM,,2500,Diesel,,
46107,Alaska,AK581,AK581_4,Open,5/17/2013 4:00:00 AM,,12000,Gasoline,,
46109,Alaska,AK581,AK581_5,Open,5/17/2013 4:00:00 AM,,12000,Gasoline,,
46111,Alaska,AK3579,AK3579_1,Open,12/10/2012 5:00:00 AM,,20000,Gasoline,,
46113,Alaska,AK3579,AK3579_2,Open,12/10/2012 5:00:00 AM,,20000,Gasoline,,
46115,Alaska,AK3579,AK3579_3,Open,12/10/2012 5:00:00 AM,,20000,Diesel,,
46117,Alaska,AK1329,AK1329_3,Open,10/9/2012 4:00:00 AM,,2500,Diesel,,
46119,Alaska,AK3581,AK3581_1,Temporarily out of Service,9/15/2012 4:00:00 AM,,20000,Gasoline,,
46121,Alaska,AK3581,AK3581_2,Temporarily out of Service,9/15/2012 4:00:00 AM,,20000,Gasoline,,
46123,Alaska,AK3581,AK3581_3,Temporarily out of Service,9/15/2012 4:00:00 AM,,20000,Gasoline,,
46125,Alaska,AK3578,AK3578_1,Open,9/1/2012 4:00:00 AM,,31000,Diesel,,
46127,Alaska,AK3578,AK3578_2,Open,9/1/2012 4:00:00 AM,,30000,Gasoline,,
46129,Alaska,AK3578,AK3578_3,Open,9/1/2012 4:00:00 AM,,30000,Diesel,,
46131,Alaska,AK3578,AK3578_4,Open,9/1/2012 4:00:00 AM,,30000,Diesel,,
46133,Alaska,AK1320,AK1320_3,Open,8/10/2012 4:00:00 AM,,4000,Diesel,,
46136,Alaska,AK2980,AK2980_2,Open,7/12/2012 4:00:00 AM,,15000,Gasoline,,
46138,Alaska,AK1112,AK1112_7,Open,6/17/2012 4:00:00 AM,,15000,Gasoline,,
46140,Alaska,AK1112,AK1112_8,Open,6/17/2012 4:00:00 AM,,15000,Diesel,,
46143,Alaska,AK1981,AK1981_5,Open,12/1/2011 5:00:00 AM,,15000,Gasoline,,
46145,Alaska,AK1981,AK1981_6,Open,12/1/2011 5:00:00 AM,,15000,Gasoline,,
46147,Alaska,AK3575,AK3575_1,Temporarily out of Service,11/7/2011 5:00:00 AM,,8000,Diesel,,
46149,Alaska,AK3575,AK3575_2,Temporarily out of Service,11/7/2011 5:00:00 AM,,8000,Gasoline,,
